2016-05-08 16:05:37.970854,TD,str,1480,esc,1488,aa,-0.17,0.09,0.05,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odoTD,str,1480,esc,1489,aa,-0.17,0.10,0.03,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odoTD,str,1480,esc,1488,aa,-0.17,0.05,0.04,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odoTD,str,1480,esc,1489,aa,-0.11,0.05,0.00,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odo_bl,45263,933050701,odo_br,43525,933438258,ms,933574,us,933574621,ypr,111.68,11.62,0.92,vbat,8.30
2016-05-08 16:05:37.980865,TD,str,1480,esc,1489,aa,-0.11,0.06,0.02,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odo_bl,45263,933050701,odo_br,43525,933438258,ms,933584,us,933584629,ypr,111.68,11.62,0.94,vbat,8.28
2016-05-08 16:05:37.990368,TD,str,1480,esc,1488,aa,-0.10,0.07,0.04,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odo_bl,45264,933588896,odo_br,43525,933438258,ms,933594,us,933594606,ypr,111.67,11.62,0.95,vbat,8.34
2016-05-08 16:05:38.010128,TD,str,1478,esc,1488,aa,-0.08,0.08,0.01,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odo_bl,45264,933588896,odo_br,43525,933438258,ms,933614,us,933614576,ypr,111.68,11.63,0.96,vbat,8.30
2016-05-08 16:05:38.020238,TD,str,1478,esc,1488,aa,-0.05,0.09,0.10,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odo_bl,45264,933588896,odo_br,43525,933438258,ms,933624,us,933624585,ypr,111.68,11.64,0.97,vbat,8.28
2016-05-08 16:05:38.040227,TD,str,1481,esc,1489,aa,-0.10,0.07,0.04,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odoTD,str,1478,esc,1489,aa,-0.05,0.06,0.09,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odo_bl,45264,933588896,odo_br,43525,933438258,ms,933644,us,933644545,ypr,111.67,11.65,0.98,vbat,8.32
2016-05-08 16:05:38.050685,TD,str,1478,esc,1488,aa,0.02,0.11,0.10,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odo_bl,45264,933588896,odo_br,43525,933438258,ms,933654,us,933654545,ypr,111.67,11.66,0.98,vbat,8.32
2016-05-08 16:05:38.070576,TD,str,1478,esc,1488,aa,-0.03,0.05,0.07,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odoTD,str,1480,esc,1488,aa,0.02,0.11,0.04,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22843,932978460,odo_fr,0,0,odo_TD,str,1480,esc,1489,aa,-0.01,0.12,0.07,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22844,933671792,odo_fr,0,0,odo_bl,45264,933588896,odo_br,43525,933438258,ms,933674,us,933674515,ypr,111.67,11.67,0.98,vbat,8.34
2016-05-08 16:05:38.079811,TD,str,1480,esc,1488,aa,-0.04,0.06,0.02,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22844,933671792,odo_fr,0,0,odo_bl,45264,933588896,odo_br,43525,933438258,ms,933684,us,933684486,ypr,111.66,11.67,0.97,vbat,8.32
2016-05-08 16:05:38.100660,TD,str,1480,esc,1488,aa,-0.07,0.07,0.02,spur_us,400890393,916857364,spur_odo,549,ping_mm,0,odo_fl,22844,933671792,odo_fr,0,0,odo_bl,45264,933588896,odo_br,43525,933438258,ms,933704,us,933704473,ypr,111.67,11.66,0.97,vbat,8.32
