seconds,meters,us,esc,odometer_ticks,odometer_last_us,ax,spur_delta_us,spur_odo
0.0,0.0,184630386,1843,7386,184629591,-0.0,30330,220
0.009998,0.040932,184640384,1403,7398,184639906,-0.59,28646,221
0.020007,0.081864,184650393,1403,7410,184650091,-1.53,28646,221
0.030006,0.122796,184660392,1403,7422,184660198,-0.2,28646,221
0.040094,0.163728,184670480,1403,7434,184670374,0.29,28646,221
0.050009,0.201249,184680395,1403,7445,184679995,-1.06,41764,222
0.060011,0.23877,184690397,1403,7456,184689830,-2.57,41764,222
0.070013,0.279702,184700399,1403,7468,184700293,-3.32,41764,222
0.08001,0.317223,184710396,1403,7479,184709752,-3.81,41764,222
0.090005,0.354744,184720391,1403,7490,184719752,-6.25,41764,222
0.100007,0.392265,184730393,1403,7501,184730128,-6.93,46145,223
0.110002,0.426375,184740388,1403,7511,184739544,-7.55,46145,223
0.120012,0.460485,184750398,1403,7521,184749490,-6.69,46145,223
0.130008,0.498006,184760394,1403,7532,184760065,-5.64,46145,223
0.140007,0.532116,184770393,1403,7542,184769472,-5.29,39842,224
0.150003,0.569637,184780389,1403,7553,184780147,-4.23,39842,224
0.160008,0.603747,184790394,1403,7563,184789980,-4.89,39842,224
0.170007,0.634446,184800393,1403,7572,184799600,-6.45,39842,224
0.18002,0.668556,184810406,1403,7582,184810007,-7.54,39842,224
0.189996,0.699255,184820382,1403,7591,184819552,-6.68,48892,225
0.200001,0.729954,184830387,1403,7600,184829394,-5.89,48892,225
0.209996,0.764064,184840382,1403,7610,184839967,-5.55,48892,225
0.22,0.794763,184850386,1403,7619,184849758,-5.38,48892,225
0.230007,0.825462,184860393,1403,7628,184859934,-5.7,49111,226
0.240011,0.856161,184870397,1403,7637,184870048,-6.47,49111,226
0.250005,0.883449,184880391,1403,7645,184879942,-5.71,49111,226
0.260002,0.914148,184890388,1403,7654,184890213,-7.06,49111,226
0.270019,0.941436,184900405,1403,7662,184899576,-5.35,49111,226
0.280002,0.968724,184910388,1403,7670,184909545,-4.95,49111,226
0.290005,0.996012,184920391,1403,7678,184919917,-4.63,51734,227
0.300002,1.0233,184930388,1403,7686,184929737,-3.7,51734,227
0.310005,1.050588,184940391,1403,7694,184940303,-6.1,51734,227
0.320001,1.074465,184950387,1403,7701,184949571,-5.47,51734,227
0.329993,1.098342,184960379,1403,7708,184959267,-5.02,51734,227
0.340006,1.122219,184970392,1403,7715,184968736,-4.98,53887,228
0.35001,1.149507,184980396,1403,7723,184979816,-4.58,53887,228
0.360013,1.173384,184990399,1403,7730,184989897,-5.28,53887,228
0.369999,1.19385,185000385,1403,7736,185000352,-4.84,53887,228
0.380004,1.217727,185010390,1403,7743,185008714,-4.47,53887,228
0.390002,1.241604,185020388,1403,7750,185019202,-4.26,52762,229
0.400007,1.265481,185030393,1403,7757,185029993,-3.9,52762,229
0.41,1.285947,185040386,1403,7763,185039310,-3.63,52762,229
0.420005,1.309824,185050391,1403,7770,185050267,-3.97,52762,229
0.430008,1.326879,185060394,1403,7775,185058802,-4.34,52762,229
0.440008,1.347345,185070394,1403,7781,185070361,-4.13,52762,229
0.450002,1.367811,185080388,1403,7787,185079057,-4.01,52762,229
0.460001,1.388277,185090387,1403,7793,185089849,-3.45,62554,230
0.470006,1.408743,185100392,1403,7799,185099922,-3.57,62554,230
0.480006,1.425798,185110392,1403,7804,185109194,-3.34,62554,230
0.490004,1.446264,185120390,1403,7810,185119988,-4.15,62554,230
0.500005,1.463319,185130391,1403,7815,185128840,-2.94,62554,230
0.510009,1.483785,185140395,1403,7821,185140325,-3.77,62554,230
0.520002,1.50084,185150388,1403,7826,185149864,-3.94,67640,231
0.530007,1.517895,185160393,1403,7831,185159441,-3.6,67640,231
0.540001,1.53495,185170387,1403,7836,185169535,-3.07,67640,231
0.550003,1.552005,185180389,1403,7841,185179908,-3.12,67640,231
0.560004,1.565649,185190390,1403,7845,185188567,-2.86,67640,231
0.570009,1.582704,185200395,1403,7850,185198646,-2.55,67640,231
0.580001,1.599759,185210387,1403,7855,185209336,-3.38,67640,231
0.590012,1.616814,185220398,1403,7860,185220082,-2.9,67640,231
0.600001,1.630458,185230387,1403,7864,185228741,-2.99,79045,232
0.609996,1.644102,185240382,1403,7868,185239161,-2.7,79045,232
0.619994,1.657746,185250380,1403,7872,185248771,-1.72,79045,232
0.630008,1.67139,185260394,1403,7876,185258173,-2.18,79045,232
0.639999,1.688445,185270385,1403,7881,185270108,-1.83,79045,232
0.650004,1.702089,185280390,1403,7885,185279663,-1.95,79045,232
0.660004,1.715733,185290390,1403,7889,185290179,-2.67,79045,232
0.670008,1.729377,185300394,1403,7893,185300192,-2.23,79045,232
0.680001,1.743021,185310387,1403,7897,185310223,-2.13,79045,232
0.69001,1.753254,185320396,1403,7900,185318349,-2.18,89871,233
0.699994,1.766898,185330380,1403,7904,185329415,-1.77,89871,233
0.710011,1.780542,185340397,1403,7908,185340243,-1.49,89871,233
0.720001,1.790775,185350387,1403,7911,185348477,-1.91,89871,233
0.729999,1.804419,185360385,1403,7915,185360299,-1.47,89871,233
0.740004,1.814652,185370390,1403,7918,185369600,-1.64,89871,233
0.749998,1.824885,185380384,1403,7921,185378670,-1.65,89871,233
0.760002,1.835118,185390388,1403,7924,185387907,-1.6,89871,233
0.770006,1.848762,185400392,1403,7928,185400264,-1.49,89871,233
0.780006,1.858995,185410392,1403,7931,185409908,-1.24,89871,233
0.789993,1.869228,185420379,1403,7934,185419593,-1.21,89871,233
0.800012,1.879461,185430398,1403,7937,185429803,-1.3,106791,234
0.810009,1.889694,185440395,1403,7940,185439797,-1.13,106791,234
0.820002,1.899927,185450388,1403,7943,185449145,-1.54,106791,234
0.830003,1.906749,185460389,1403,7945,185456874,-1.43,106791,234
0.839996,1.916982,185470382,1403,7948,185468038,-0.99,106791,234
0.850005,1.927215,185480391,1403,7951,185478342,-0.8,106791,234
0.859996,1.937448,185490382,1403,7954,185490145,-0.8,106791,234
0.869992,1.94427,185500378,1403,7956,185497752,-0.67,106791,234
0.880002,1.954503,185510388,1403,7959,185508587,-0.93,106791,234
0.889993,1.964736,185520379,1403,7962,185519895,-0.7,106791,234
0.900004,1.971558,185530390,1403,7964,185528913,-0.71,106791,234
0.910006,1.97838,185540392,1403,7966,185536595,-0.54,106791,234
0.920008,1.988613,185550394,1403,7969,185550010,-0.41,106791,234
0.930002,1.995435,185560388,1403,7971,185557680,-0.34,127308,235
0.939997,2.005668,185570383,1403,7974,185569801,-0.4,127308,235
0.950011,2.01249,185580397,1403,7976,185578637,-0.23,127308,235
0.959996,2.019312,185590382,1403,7978,185586704,-0.36,127308,235
0.969996,2.029545,185600382,1403,7981,185600182,-0.51,127308,235
0.980003,2.036367,185610389,1403,7983,185608758,-0.44,127308,235
0.99,2.043189,185620386,1403,7985,185618693,-0.38,127308,235
1.000164,2.050011,185630550,1403,7987,185627587,-0.4,127308,235
1.01001,2.056833,185640396,1403,7989,185637784,-0.38,127308,235
1.020001,2.063655,185650387,1403,7991,185646607,-0.26,127308,235
1.029997,2.070477,185660383,1403,7993,185656982,-0.18,127308,235
1.040003,2.077299,185670389,1403,7995,185666092,-0.11,127308,235
1.049987,2.084121,185680373,1403,7997,185676312,-0.16,127308,235
1.060001,2.090943,185690387,1403,7999,185685330,-0.22,127308,235
1.069997,2.097765,185700383,1403,8001,185695789,-0.25,127308,235
