seconds,meters,us,esc,odometer_ticks,odometer_last_us,ax,spur_delta_us,spur_odo
0.746016,1.650924,1305396410,1403,28627,1305394334,-1.92,98315,1295
0.756219,1.664568,1305406613,1403,28631,1305404526,-1.81,98315,1295
0.765968,1.678212,1305416362,1403,28635,1305415450,-1.87,98315,1295
0.775958,1.688445,1305426352,1403,28638,1305424213,-1.82,98315,1295
0.785952,1.702089,1305436346,1403,28642,1305434831,-1.92,102557,1296
0.796178,1.715733,1305446572,1403,28646,1305445519,-1.94,102557,1296
0.805935,1.725966,1305456329,1403,28649,1305453648,-1.79,102557,1296
0.816173,1.73961,1305466567,1403,28653,1305464709,-1.76,102557,1296
0.825916,1.749843,1305476310,1403,28656,1305473761,-1.61,102557,1296
0.836231,1.763487,1305486625,1403,28660,1305485316,-1.75,102557,1296
0.845904,1.77372,1305496298,1403,28663,1305494410,-1.92,102557,1296
0.856097,1.783953,1305506491,1403,28666,1305503523,-1.87,102557,1296
0.865866,1.797597,1305516260,1403,28670,1305516063,-1.79,102557,1296
0.8761,1.80783,1305526494,1403,28673,1305525003,-1.52,102557,1296
0.885844,1.818063,1305536238,1403,28676,1305534851,-1.47,107132,1297
0.895847,1.828296,1305546241,1403,28679,1305544196,-1.33,107132,1297
0.906073,1.838529,1305556467,1403,28682,1305554361,-1.17,107132,1297
0.915798,1.848762,1305566192,1403,28685,1305563940,-1.19,107132,1297
0.926057,1.858995,1305576451,1403,28688,1305574446,-1.18,107132,1297
0.935791,1.869228,1305586185,1403,28691,1305584097,-1.28,107132,1297
0.945774,1.879461,1305596168,1403,28694,1305594726,-1.33,107132,1297
0.956028,1.889694,1305606422,1403,28697,1305605673,-1.28,107132,1297
0.965736,1.896516,1305616130,1403,28699,1305613241,-1.22,107132,1297
