seconds,meters,us,esc,odometer_ticks,ax,spur_delta_us,spur_odo
0.0,0.0,585301906,1825,692,0.15,34555,945
0.010267,0.030699,585312173,1460,701,-0.12,34555,945
0.020236,0.061398,585322142,1460,710,0.03,34555,945
0.029976,0.092097,585331882,1460,719,0.17,34555,945
0.040207,0.122796,585342113,1460,728,0.51,34555,945
0.049926,0.150084,585351832,1460,736,1.01,44064,946
0.060177,0.180783,585362083,1460,745,-0.49,44064,946
0.06992,0.211482,585371826,1460,754,-1.55,44064,946
0.080172,0.242181,585382078,1460,763,-2.12,44064,946
0.089906,0.27288,585391812,1460,772,-2.07,44064,946
0.100151,0.303579,585402057,1460,781,-2.64,44064,946
0.109873,0.330867,585411779,1460,789,-2.98,44064,946
0.120375,0.361566,585422281,1460,798,-3.15,44064,946
0.129847,0.388854,585431753,1460,806,-3.28,79548,947
0.14006,0.419553,585441966,1460,815,-3.23,79548,947
0.149828,0.446841,585451734,1460,823,-3.17,79548,947
0.159861,0.474129,585461767,1460,831,-3.13,79548,947
0.169802,0.504828,585471708,1460,840,-3.7,79548,947
0.180038,0.532116,585481944,1460,848,-3.21,79548,947
0.189788,0.559404,585491694,1460,856,-3.37,79548,947
0.19975,0.583281,585501656,1460,863,-3.0,79548,947
0.209991,0.610569,585511897,1460,871,-3.59,79548,947
0.219748,0.637857,585521654,1460,879,-3.79,93333,948
0.229987,0.665145,585531893,1460,887,-3.88,93333,948
0.239975,0.692433,585541881,1460,895,-3.52,93333,948
0.249697,0.71631,585551603,1460,902,-2.89,93333,948
0.26017,0.743598,585562076,1460,910,-2.81,93333,948
0.269669,0.767475,585571575,1460,917,-2.78,93333,948
0.2799,0.794763,585581806,1460,925,-2.86,93333,948
0.29015,0.822051,585592056,1460,933,-3.86,93333,948
0.299638,0.845928,585601544,1460,940,-3.56,93333,948
0.310114,0.869805,585612020,1460,947,-3.13,92623,949
0.319618,0.893682,585621524,1460,954,-2.63,92623,949
0.330078,0.917559,585631984,1460,961,-2.45,92623,949
0.339581,0.941436,585641487,1460,968,-2.61,92623,949
0.349802,0.965313,585651708,1460,975,-3.32,92623,949
0.359577,0.98919,585661483,1460,982,-3.47,92623,949
0.36956,1.013067,585671466,1460,989,-3.35,92623,949
0.379796,1.036944,585681702,1460,996,-2.93,92623,949
0.389764,1.05741,585691670,1460,1002,-2.57,92623,949
0.399501,1.077876,585701407,1460,1008,-2.4,92623,949
0.409539,1.101753,585711445,1460,1015,-2.17,98272,950
0.419733,1.12563,585721639,1460,1022,-2.99,98272,950
0.42974,1.149507,585731646,1460,1029,-3.09,98272,950
0.439466,1.169973,585741372,1460,1035,-2.75,98272,950
0.4497,1.190439,585751606,1460,1041,-2.48,98272,950
0.459435,1.210905,585761341,1460,1047,-2.38,98272,950
0.469686,1.231371,585771592,1460,1053,-2.31,98272,950
0.479399,1.255248,585781305,1460,1060,-2.84,98272,950
0.489413,1.275714,585791319,1460,1066,-2.99,98272,950
0.49937,1.29618,585801276,1460,1072,-2.84,98272,950
0.509385,1.316646,585811291,1460,1078,-2.71,96921,951
0.519611,1.333701,585821517,1460,1083,-2.28,96921,951
0.529581,1.354167,585831487,1460,1089,-2.15,96921,951
0.539338,1.374633,585841244,1460,1095,-2.58,96921,951
0.549568,1.391688,585851474,1460,1100,-2.49,96921,951
0.559307,1.412154,585861213,1460,1106,-2.22,96921,951
0.56929,1.43262,585871196,1460,1112,-2.43,96921,951
0.579536,1.449675,585881442,1460,1117,-2.73,96921,951
0.589529,1.470141,585891435,1460,1123,-2.37,96921,951
0.599267,1.487196,585901173,1460,1128,-2.42,96921,951
0.609489,1.504251,585911395,1460,1133,-2.22,98298,952
0.619222,1.521306,585921128,1460,1138,-2.1,98298,952
0.629446,1.538361,585931352,1460,1143,-2.15,98298,952
0.639216,1.555416,585941122,1460,1148,-2.34,98298,952
0.649455,1.572471,585951361,1460,1153,-2.46,98298,952
0.659247,1.589526,585961153,1460,1158,-2.49,98298,952
0.669195,1.606581,585971101,1460,1163,-2.38,98298,952
0.679412,1.623636,585981318,1460,1168,-2.04,98298,952
0.689154,1.640691,585991060,1460,1173,-1.81,98298,952
0.699354,1.654335,586001260,1460,1177,-1.81,98298,952
0.709133,1.67139,586011039,1460,1182,-1.99,100143,953
0.719371,1.688445,586021277,1460,1187,-2.27,100143,953
0.729092,1.702089,586030998,1460,1191,-2.23,100143,953
0.739332,1.719144,586041238,1460,1196,-2.03,100143,953
0.749071,1.732788,586050977,1460,1200,-1.82,100143,953
0.759299,1.746432,586061205,1460,1204,-2.0,100143,953
0.769047,1.760076,586070953,1460,1208,-2.2,100143,953
0.77928,1.777131,586081186,1460,1213,-2.15,100143,953
0.789018,1.790775,586090924,1460,1217,-1.91,100143,953
0.79928,1.804419,586101186,1460,1221,-1.76,100143,953
0.808974,1.814652,586110880,1460,1224,-1.63,100865,954
0.819209,1.828296,586121115,1460,1228,-1.74,100865,954
0.828971,1.84194,586130877,1460,1232,-1.76,100865,954
0.839196,1.855584,586141102,1460,1236,-1.73,100865,954
0.848943,1.869228,586150849,1460,1240,-1.82,100865,954
0.859167,1.882872,586161073,1460,1244,-1.79,100865,954
0.869172,1.893105,586171078,1460,1247,-1.88,100865,954
0.878915,1.906749,586180821,1460,1251,-1.83,100865,954
0.889128,1.920393,586191034,1460,1255,-1.65,100865,954
0.899113,1.930626,586201019,1460,1258,-1.53,100865,954
0.908925,1.940859,586210831,1460,1261,-1.38,105270,955
0.919086,1.954503,586220992,1460,1265,-1.39,105270,955
0.928848,1.964736,586230754,1460,1268,-1.38,105270,955
0.938826,1.97838,586240732,1460,1272,-1.42,105270,955
0.949056,1.988613,586250962,1460,1275,-1.47,105270,955
0.958794,1.998846,586260700,1460,1278,-1.48,105270,955
0.969024,2.009079,586270930,1460,1281,-1.51,105270,955
0.978754,2.019312,586280660,1460,1284,-1.3,105270,955
0.988983,2.029545,586290889,1460,1287,-1.07,105270,955
0.998741,2.039778,586300647,1460,1290,-0.99,105270,955
1.008731,2.050011,586310637,1460,1293,-1.26,105270,955
1.018969,2.060244,586320875,1460,1296,-1.55,105270,955
1.028944,2.070477,586330850,1460,1299,-1.5,116369,956
1.038944,2.08071,586340850,1460,1302,-1.01,116369,956
1.048674,2.087532,586350580,1460,1304,-0.75,116369,956
1.058893,2.097765,586360799,1460,1307,-0.56,116369,956
1.068665,2.107998,586370571,1460,1310,-0.71,116369,956
1.078644,2.11482,586380550,1460,1312,-0.97,116369,956
1.088854,2.125053,586390760,1460,1315,-0.92,116369,956
1.098859,2.135286,586400765,1460,1318,-0.73,116369,956
1.108857,2.142108,586410763,1460,1320,-0.53,116369,956
1.118584,2.152341,586420490,1460,1323,-0.45,116369,956
1.128805,2.159163,586430711,1460,1325,-0.53,116369,956
1.13859,2.169396,586440496,1460,1328,-0.62,116369,956
1.148803,2.176218,586450709,1460,1330,-0.68,116369,956
1.158614,2.186451,586460520,1460,1333,-0.63,134834,957
1.168795,2.193273,586470701,1460,1335,-0.49,134834,957
1.178526,2.200095,586480432,1460,1337,-0.48,134834,957
1.188485,2.210328,586490391,1460,1340,-0.54,134834,957
1.198727,2.21715,586500633,1460,1342,-0.52,134834,957
1.208475,2.223972,586510381,1460,1344,-0.5,134834,957
1.218478,2.234205,586520384,1460,1347,-0.42,134834,957
1.22896,2.241027,586530866,1460,1349,-0.39,134834,957
1.238467,2.247849,586540373,1460,1351,-0.34,134834,957
1.248951,2.254671,586550857,1460,1353,-0.34,134834,957
