seconds,meters,us,esc,odometer_ticks,odometer_last_us,ax,spur_delta_us,spur_odo
0.0,0.0,459010354,1971,13963,459009945,-1.9,10817,1166
0.010419,0.105741,459020773,1971,13994,459020712,-0.65,10817,1166
0.020072,0.201249,459030426,1403,14022,459030247,-0.51,11887,1167
0.030264,0.303579,459040618,1403,14052,459040483,-0.99,16637,1168
0.040451,0.405909,459050805,1403,14082,459050663,-1.19,16637,1168
0.050137,0.501417,459060491,1403,14110,459060273,-2.03,14053,1169
0.060318,0.603747,459070672,1403,14140,459070624,-5.2,16241,1170
0.069998,0.699255,459080352,1403,14168,459080289,-4.84,16241,1170
0.080427,0.801585,459090781,1403,14198,459090625,-6.4,15899,1171
0.090106,0.897093,459100460,1403,14226,459100361,-6.44,15899,1171
0.10004,0.992601,459110394,1403,14254,459110173,-6.81,21327,1172
0.110185,1.088109,459120539,1403,14282,459120306,-8.21,21327,1172
0.119874,1.180206,459130228,1403,14309,459129997,-5.84,22402,1173
0.130038,1.279125,459140392,1403,14338,459140338,-7.54,22402,1173
0.140217,1.374633,459150571,1403,14366,459150490,-6.57,22402,1173
0.150142,1.46673,459160496,1403,14393,459160209,-6.02,30727,1174
0.160078,1.562238,459170432,1403,14421,459170318,-6.26,30727,1174
0.170002,1.654335,459180356,1403,14448,459180317,-7.75,30727,1174
0.179927,1.746432,459190281,1403,14475,459189916,-8.52,30727,1174
0.190124,1.84194,459200478,1403,14503,459200303,-10.39,34894,1175
0.199792,1.927215,459210146,1403,14528,459209845,-9.34,34894,1175
0.209959,2.019312,459220313,1403,14555,459220070,-8.37,34894,1175
0.219874,2.107998,459230228,1403,14581,459230073,-10.29,28255,1176
0.229769,2.196684,459240123,1403,14607,459240065,-9.03,28255,1176
0.239929,2.28537,459250283,1403,14633,459250211,-6.58,28255,1176
0.249842,2.370645,459260196,1403,14658,459260001,-6.18,32333,1177
0.259982,2.459331,459270336,1403,14684,459270148,-6.38,32333,1177
0.269881,2.544606,459280235,1403,14709,459279934,-6.19,32333,1177
0.280036,2.633292,459290390,1403,14735,459290029,-6.68,32333,1177
0.289696,2.715156,459300050,1403,14759,459299625,-7.17,44494,1178
0.300081,2.803842,459310435,1403,14785,459310062,-7.73,44494,1178
0.309992,2.885706,459320346,1403,14809,459320311,-7.83,44494,1178
0.319648,2.96757,459330002,1403,14833,459329682,-8.16,44494,1178
0.330042,3.052845,459340396,1403,14858,459340266,-8.78,32948,1179
0.33994,3.131298,459350294,1403,14881,459349900,-6.82,32948,1179
0.349857,3.213162,459360211,1403,14905,459359989,-5.39,32948,1179
0.360015,3.298437,459370369,1403,14930,459370270,-4.79,32948,1179
0.36993,3.37689,459380284,1403,14953,459380024,-5.11,43429,1180
0.380067,3.458754,459390421,1403,14977,459390013,-4.81,43429,1180
0.389972,3.537207,459400326,1403,15000,459399907,-5.51,43429,1180
0.399875,3.619071,459410229,1403,15024,459410175,-6.04,43429,1180
0.41002,3.697524,459420374,1403,15047,459420257,-7.28,43429,1180
