seconds,meters,us,esc,odometer_ticks,odometer_last_us,ax,spur_delta_us,spur_odo
0.0,0.0,1414120397,1826,28301,1414120348,-0.02,36324,1327
0.009983,0.027288,1414130380,1403,28309,1414129020,0.33,34709,1328
0.020005,0.061398,1414140402,1403,28319,1414140291,0.36,34709,1328
0.029988,0.092097,1414150385,1403,28328,1414149997,0.6,34709,1328
0.040139,0.122796,1414160536,1403,28337,1414159593,0.57,34709,1328
0.050001,0.153495,1414170398,1403,28346,1414169573,-0.15,34709,1328
0.059993,0.184194,1414180390,1403,28355,1414179684,-0.54,34709,1328
0.069991,0.218304,1414190388,1403,28365,1414190327,-1.94,34709,1328
0.080002,0.249003,1414200399,1403,28374,1414200270,-2.31,34709,1328
0.089999,0.279702,1414210396,1403,28383,1414210003,-2.36,34709,1328
0.100009,0.310401,1414220406,1403,28392,1414220020,-3.0,34709,1328
0.11,0.3411,1414230397,1403,28401,1414229957,-2.83,34709,1328
0.119992,0.368388,1414240389,1403,28409,1414239465,-3.02,34709,1328
0.129993,0.399087,1414250390,1403,28418,1414249781,-3.24,34709,1328
0.139995,0.429786,1414260392,1403,28427,1414259965,-3.41,34709,1328
0.149997,0.457074,1414270394,1403,28435,1414269264,-3.7,34709,1328
0.160008,0.487773,1414280405,1403,28444,1414279940,-3.89,143491,1329
0.169995,0.515061,1414290392,1403,28452,1414289590,-3.7,143491,1329
0.179989,0.542349,1414300386,1403,28460,1414299269,-3.54,143491,1329
0.19,0.573048,1414310397,1403,28469,1414310146,-3.13,143491,1329
0.200011,0.600336,1414320408,1403,28477,1414319760,-3.13,143491,1329
0.209998,0.627624,1414330395,1403,28485,1414329465,-3.58,143491,1329
0.220005,0.654912,1414340402,1403,28493,1414339151,-3.35,143491,1329
0.229991,0.6822,1414350388,1403,28501,1414348994,-3.49,143491,1329
0.23999,0.709488,1414360387,1403,28509,1414359207,-3.0,143491,1329
0.249997,0.736776,1414370394,1403,28517,1414369081,-3.05,91384,1330
0.259996,0.764064,1414380393,1403,28525,1414379232,-3.1,91384,1330
0.270008,0.791352,1414390405,1403,28533,1414389745,-3.5,91384,1330
0.280001,0.81864,1414400398,1403,28541,1414400211,-3.61,91384,1330
0.29,0.842517,1414410397,1403,28548,1414409626,-3.51,91384,1330
0.300013,0.869805,1414420410,1403,28556,1414420255,-3.49,91384,1330
0.309994,0.893682,1414430391,1403,28563,1414429708,-2.96,91384,1330
0.320004,0.92097,1414440401,1403,28571,1414440343,-2.97,91384,1330
0.330002,0.944847,1414450399,1403,28578,1414449945,-3.14,91384,1330
0.339997,0.968724,1414460394,1403,28585,1414459211,-3.14,86615,1331
0.350002,0.996012,1414470399,1403,28593,1414470184,-3.16,86615,1331
0.359999,1.019889,1414480396,1403,28600,1414480258,-2.88,86615,1331
0.370001,1.043766,1414490398,1403,28607,1414490297,-2.97,86615,1331
0.380003,1.067643,1414500400,1403,28614,1414500245,-2.98,86615,1331
0.390007,1.09152,1414510404,1403,28621,1414510035,-3.1,86615,1331
0.400023,1.111986,1414520420,1403,28627,1414518866,-2.94,86615,1331
0.410001,1.135863,1414530398,1403,28634,1414529359,-2.81,86615,1331
0.420005,1.15974,1414540402,1403,28641,1414539967,-2.71,86615,1331
0.430003,1.180206,1414550400,1403,28647,1414549077,-2.79,86615,1331
0.439999,1.204083,1414560396,1403,28654,1414559667,-2.78,101066,1332
0.449995,1.22796,1414570392,1403,28661,1414570221,-2.77,101066,1332
0.459999,1.248426,1414580396,1403,28667,1414579514,-2.88,101066,1332
0.470005,1.268892,1414590402,1403,28673,1414588615,-2.84,101066,1332
0.479993,1.292769,1414600390,1403,28680,1414599663,-2.73,101066,1332
0.489999,1.313235,1414610396,1403,28686,1414609349,-2.67,101066,1332
0.500021,1.333701,1414620418,1403,28692,1414619144,-2.35,101066,1332
0.510001,1.354167,1414630398,1403,28698,1414628750,-2.53,101066,1332
0.520005,1.378044,1414640402,1403,28705,1414640281,-2.79,101066,1332
0.529998,1.39851,1414650395,1403,28711,1414650344,-2.72,90693,1333
0.539999,1.418976,1414660396,1403,28717,1414660213,-2.85,90693,1333
0.550006,1.436031,1414670403,1403,28722,1414669147,-2.81,90693,1333
0.560011,1.456497,1414680408,1403,28728,1414679405,-2.53,90693,1333
0.570013,1.473552,1414690410,1403,28733,1414688103,-2.23,90693,1333
0.580008,1.494018,1414700405,1403,28739,1414699291,-2.22,90693,1333
0.590009,1.514484,1414710406,1403,28745,1414709758,-2.24,90693,1333
0.606206,1.545183,1414726603,1403,28754,1414726246,-2.65,90693,1333
0.616188,1.562238,1414736585,1403,28759,1414735402,-3.03,90693,1333
0.626192,1.582704,1414746589,1403,28765,1414746281,-2.81,99175,1334
0.636434,1.599759,1414756831,1403,28770,1414756311,-2.47,99175,1334
0.646178,1.616814,1414766575,1403,28775,1414765927,-2.04,99175,1334
