seconds,meters,us,esc,odometer_ticks,odometer_last_us,ax,spur_delta_us,spur_odo
0.0,0.0,462760386,1844,11448,462759942,-0.29,28830,568
0.010009,0.040932,462770395,1403,11460,462770352,0.11,28830,568
0.020008,0.078453,462780394,1403,11471,462779434,0.19,28830,568
0.030001,0.119385,462790387,1403,11483,462789902,-0.4,28830,568
0.040011,0.160317,462800397,1403,11495,462799786,-1.22,28830,568
0.050008,0.201249,462810394,1403,11507,462809718,-3.47,28830,568
0.06,0.23877,462820386,1403,11518,462819592,-4.08,28830,568
0.070005,0.279702,462830391,1403,11530,462830115,-4.08,28830,568
0.079998,0.317223,462840384,1403,11541,462840078,-5.33,28830,568
0.090017,0.354744,462850403,1403,11552,462850053,-5.05,91048,569
0.100016,0.392265,462860402,1403,11563,462859880,-5.68,91048,569
0.110009,0.429786,462870395,1403,11574,462870219,-5.69,91048,569
0.120007,0.463896,462880393,1403,11584,462879890,-6.64,91048,569
0.130105,0.501417,462890491,1403,11595,462890424,-7.22,47002,570
0.140015,0.532116,462900401,1403,11604,462899642,-6.84,47002,570
0.150009,0.566226,462910395,1403,11614,462909658,-6.08,47002,570
0.160003,0.600336,462920389,1403,11624,462919657,-5.29,47002,570
0.170005,0.634446,462930391,1403,11634,462929689,-4.85,47002,570
0.18001,0.668556,462940396,1403,11644,462940108,-5.78,50391,571
0.190023,0.699255,462950409,1403,11653,462949744,-5.78,50391,571
0.200007,0.733365,462960393,1403,11663,462960275,-5.46,50391,571
0.210009,0.760653,462970395,1403,11671,462969266,-5.93,50391,571
0.220009,0.791352,462980395,1403,11680,462979382,-5.42,50391,571
0.230006,0.822051,462990392,1403,11689,462989240,-5.84,49771,572
0.240018,0.85275,463000404,1403,11698,462999602,-5.87,49771,572
0.250011,0.883449,463010397,1403,11707,463010114,-5.18,49771,572
0.26001,0.910737,463020396,1403,11715,463019867,-5.55,49771,572
0.27001,0.938025,463030396,1403,11723,463029470,-5.37,49771,572
0.280018,0.965313,463040404,1403,11731,463039305,-4.92,50616,573
0.290041,0.992601,463050427,1403,11739,463049137,-4.9,50616,573
0.300003,1.019889,463060389,1403,11747,463059064,-3.92,50616,573
0.31001,1.047177,463070396,1403,11755,463069102,-4.67,50616,573
0.319998,1.074465,463080384,1403,11763,463079446,-4.8,50616,573
0.330008,1.101753,463090394,1403,11771,463090248,-4.87,50616,573
0.340007,1.12563,463100393,1403,11778,463099719,-5.18,54591,574
0.350007,1.149507,463110393,1403,11785,463109390,-4.25,54591,574
0.360005,1.173384,463120391,1403,11792,463119235,-4.39,54591,574
