secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s,road_sign_label,road_sign_command,arg1,arg2,arg3
6.94,3.1357,8.17439,3.00783,7.90157,0,-295.31,0,1680,1522,1.7647,,,,,
6.96,3.15171,8.20581,3.02292,7.93347,0,-295.25,0,1679,1520,1.7647,,,,,
6.98,3.16648,8.23786,3.03796,7.96537,0,-295.25,0,1679,1518,1.7647,,,,,
7.0,3.18152,8.26976,3.053,7.99724,0,-295.38,0,1679,1519,1.7647,,,,,
7.02,3.19725,8.30131,3.06807,8.02909,0,-295.25,0,1679,1515,1.7647,,,,,
7.04,3.21163,8.33348,3.0831,8.06091,0,-295.25,0,1679,1515,1.7647,,,,,
7.06,3.22666,8.3653,3.09812,8.09274,0,-295.25,0,1679,1518,1.7647,,,,,
7.08,3.24168,8.39713,3.11208,8.12234,0,-295.0,0,1680,1519,1.63865,,,,,
7.1,3.25432,8.42736,3.12699,8.15431,0,-295.06,0,1679,1523,1.7647,,,,,
7.12,3.26954,8.45918,3.14088,8.18397,0,-295.12,0,1679,1523,1.63865,,,,,
7.14,3.28375,8.48869,3.15584,8.21589,0,-295.06,0,1679,1524,1.7647,,,,,
7.16,3.29839,8.52076,3.17183,8.25009,0,-295.06,0,1679,1526,1.89075,,,,,
7.18,3.31438,8.55496,3.18674,8.28199,0,-295.12,0,1679,1527,1.7647,,,,,
7.2,3.32961,8.58671,3.20167,8.31389,0,-295.06,0,1679,1527,1.7647,,,,,
7.22,3.34422,8.61876,3.21657,8.34576,0,-295.06,0,1679,1529,1.7647,,,,,
7.24,3.35912,8.65063,3.23154,8.3776,0,-295.31,0,1680,1528,1.7647,,,,,
7.26,3.37542,8.68185,3.24549,8.40716,0,-295.25,0,1679,1527,1.63865,,,,,
7.28,3.38905,8.71155,3.26053,8.439,0,-295.44,0,1679,1527,1.7647,,,,,
7.3,3.4051,8.74291,3.27564,8.47077,0,-295.44,0,1679,1529,1.7647,,,,,
7.32,3.42021,8.77469,3.28965,8.50028,0,-295.44,0,1679,1528,1.63865,,,,,
7.34,3.43422,8.80419,3.30467,8.53209,0,-295.06,0,1679,1524,1.7647,,,,,
7.36,3.44722,8.83696,3.31962,8.56402,0,-295.12,0,1679,1522,1.7647,,,,,
7.38,3.46249,8.86874,3.33461,8.59595,0,-295.19,0,1679,1523,1.7647,,,,,
7.4,3.47785,8.90049,3.34962,8.62786,0,-295.25,0,1679,1522,1.7647,,,,,
7.42,3.49318,8.93225,3.36464,8.65977,0,-295.19,0,1679,1523,1.7647,,,,,
7.44,3.50789,8.96431,3.37858,8.68941,0,-295.19,0,1679,1519,1.63865,,,,,
7.46,3.52183,8.99395,3.39252,8.71903,0,-295.19,0,1679,1521,1.63865,,,,,
7.48,3.53576,9.02358,3.40758,8.75095,0,-295.38,0,1679,1521,1.7647,,,,,
7.5,3.55183,9.05502,3.42268,8.78284,0,-295.31,0,1680,1523,1.7647,,,,,
7.52,3.56656,9.08709,3.43775,8.81472,0,-295.25,0,1679,1525,1.7647,,,,,
7.54,3.58132,9.11912,3.45278,8.84659,0,-295.19,0,1679,1525,1.7647,,,,,
7.56,3.59602,9.15114,3.46777,8.87846,0,-295.25,0,1679,1527,1.7647,,,,,
7.58,3.61133,9.18286,3.48385,8.91258,0,-295.19,0,1679,1529,1.89075,,,,,
7.6,3.6271,9.21712,3.49773,8.94214,0,-295.12,0,1679,1528,1.63865,,,,,
7.62,3.6406,9.24686,3.51268,8.97399,0,-295.12,0,1678,1528,1.7647,,,,,
7.64,3.65555,9.27871,3.52655,9.00358,0,-295.12,0,1679,1527,1.63865,,,,,
